# Surah 91 | Ash-Shams | الشمس
# total_ayat=15

1|وَالشَّمْسِ وَضُحَاهَا|Demi matahari dan sininya di pagi hari,
2|وَالْقَمَرِ إِذَا تَلَاهَا|demi bulan apabila mengiringinya,
3|وَالنَّهَارِ إِذَا جَلَّاهَا|demi siang apabila menampakkannya,
4|وَاللَّيْلِ إِذَا يَغْشَاهَا|demi malam apabila menutupinya (gelap gulita),
5|وَالسَّمَاءِ وَمَا بَنَاهَا|demi langit serta pembinaannya (yang menakjubkan),
6|وَالْأَرْضِ وَمَا طَحَاهَا|demi bumi serta penghamparannya,
7|وَنَفْسٍ وَمَا سَوَّاهَا|demi jiwa serta penyempurnaannya (ciptaannya),
8|فَأَلْهَمَهَا فُجُورَهَا وَتَقْوَاهَا|maka Dia mengilhamkan kepadanya (jalan) kejahatan dan ketakwaannya,
9|قَدْ أَفْلَحَ مَنْ زَكَّاهَا|sungguh beruntung orang yang menyucikannya (jiwa itu),
10|وَقَدْ خَابَ مَنْ دَسَّاهَا|dan sungguh rugi orang yang mengotorinya.
11|كَذَّبَتْ ثَمُودُ بِطَغْوَاهَا|Kaum Samud telah mendustakan (rasulnya) karena mereka melampaui batas,
12|إِذِ انْبَعَثَ أَشْقَاهَا|ketika orang yang paling celaka di antara mereka bangkit (merencanakan kedurhakaan).
13|فَقَالَ لَهُمْ رَسُولُ اللَّهِ نَاقَةَ اللَّهِ وَسُقْيَاهَا|Lalu Rasul Allah (Saleh) berkata kepada mereka, "(Biarkanlah) unta betina dari Allah ini dengan minumannya."
14|فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمْدَمَ عَلَيْهِمْ رَبُّهُمْ بِذَنْبِهِمْ فَسَوَّاهَا|Namun mereka mendustakannya dan menyembelihnya, karena itu Tuhan membinasakan mereka karena dosanya, lalu diratakan-Nya (dengan tanah),
15|وَلَا يَخَافُ عُقْبَاهَا|dan Dia tidak takut terhadap akibatnya.
